                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3014,                 1.1523,                 1.2736,                0.56275,                0.45199,                0.48013,                0.28215,                 1.5286,                 1.5074,                 1.4262,               0.006733,               0.006733,               0.006733
                     35,                 1.3079,                  1.159,                 1.2712,                0.58115,                0.49391,                0.49433,                0.29159,                 1.5453,                 1.5057,                 1.4764,               0.006634,               0.006634,               0.006634
                     36,                 1.2927,                 1.1252,                 1.2667,                0.59119,                0.50853,                 0.5113,                0.29521,                 1.5241,                 1.4315,                 1.4416,               0.006535,               0.006535,               0.006535
                     37,                 1.2773,                 1.1152,                 1.2563,                0.55512,                0.52814,                 0.5136,                0.30047,                 1.5178,                  1.427,                 1.4377,               0.006436,               0.006436,               0.006436
                     38,                 1.2888,                 1.1188,                 1.2614,                0.61999,                0.50273,                0.52545,                0.30615,                 1.5325,                 1.4396,                 1.4368,               0.006337,               0.006337,               0.006337
                     39,                 1.2957,                 1.1174,                 1.2638,                0.58278,                0.50489,                0.50034,                0.29599,                 1.5199,                 1.4776,                 1.4376,               0.006238,               0.006238,               0.006238
                     40,                 1.2751,                 1.0807,                  1.247,                0.61101,                0.49766,                 0.5152,                0.30092,                 1.5339,                 1.4539,                 1.4477,               0.006139,               0.006139,               0.006139
                     41,                 1.2674,                 1.0741,                 1.2423,                0.58781,                0.49841,                0.50845,                0.29999,                 1.5458,                 1.4973,                 1.4597,                0.00604,                0.00604,                0.00604
                     42,                 1.2606,                 1.0609,                 1.2393,                0.59912,                0.49597,                0.51286,                0.30422,                 1.5103,                 1.4911,                 1.4239,               0.005941,               0.005941,               0.005941
                     43,                 1.2614,                 1.0692,                 1.2432,                0.56551,                0.51988,                0.50804,                0.30026,                 1.5246,                 1.4571,                 1.4263,               0.005842,               0.005842,               0.005842
                     44,                 1.2459,                 1.0552,                 1.2287,                0.58309,                0.48865,                0.48175,                0.28368,                 1.5684,                 1.5236,                 1.4639,               0.005743,               0.005743,               0.005743
                     45,                  1.242,                  1.037,                 1.2212,                0.58555,                0.47957,                0.49218,                 0.2924,                 1.5544,                 1.5142,                 1.4556,               0.005644,               0.005644,               0.005644
                     46,                 1.2479,                 1.0394,                 1.2311,                0.56151,                0.51463,                0.48751,                0.28674,                 1.5457,                 1.5133,                 1.4482,               0.005545,               0.005545,               0.005545
                     47,                  1.223,                 1.0107,                 1.2175,                0.58632,                0.49571,                0.49041,                0.28729,                 1.5408,                  1.476,                 1.4493,               0.005446,               0.005446,               0.005446
                     48,                 1.2252,                 1.0122,                 1.2131,                0.57792,                0.50021,                0.48995,                0.28992,                 1.5306,                 1.5097,                 1.4479,               0.005347,               0.005347,               0.005347
                     49,                 1.2107,                0.99565,                 1.2076,                0.61876,                0.49383,                0.51261,                0.30211,                  1.523,                 1.4811,                 1.4384,               0.005248,               0.005248,               0.005248
                     50,                 1.2409,                 1.0105,                 1.2191,                0.57105,                0.51177,                0.50025,                0.29742,                 1.5108,                 1.4863,                 1.4212,               0.005149,               0.005149,               0.005149
                     51,                 1.2376,                0.98601,                  1.216,                0.60155,                0.50424,                0.50301,                0.29429,                 1.5369,                 1.5304,                 1.4337,                0.00505,                0.00505,                0.00505
                     52,                 1.2048,                0.97175,                 1.2113,                0.57981,                0.49896,                0.50303,                0.29984,                 1.5274,                  1.493,                 1.4405,               0.004951,               0.004951,               0.004951
                     53,                 1.1968,                0.96277,                 1.1935,                0.60291,                0.48614,                    0.5,                0.29953,                 1.5259,                  1.521,                 1.4417,               0.004852,               0.004852,               0.004852
                     54,                 1.2026,                0.96401,                 1.2015,                0.60186,                0.48643,                0.48835,                 0.2898,                 1.5218,                 1.5086,                 1.4511,               0.004753,               0.004753,               0.004753
                     55,                 1.1953,                0.95347,                    1.2,                0.59009,                0.51777,                 0.5147,                0.30887,                 1.5141,                 1.4592,                 1.4313,               0.004654,               0.004654,               0.004654
                     56,                 1.1772,                0.93849,                 1.1967,                0.60519,                0.50859,                0.50822,                  0.301,                  1.534,                  1.475,                 1.4406,               0.004555,               0.004555,               0.004555
                     57,                 1.1737,                0.93648,                 1.1883,                0.57767,                0.50633,                0.50517,                0.30273,                 1.5021,                 1.4831,                 1.4238,               0.004456,               0.004456,               0.004456
                     58,                 1.1679,                0.93593,                 1.1858,                0.61646,                0.50318,                0.51868,                0.30909,                 1.5249,                 1.4524,                 1.4458,               0.004357,               0.004357,               0.004357
                     59,                 1.1799,                0.92126,                 1.1805,                0.59159,                0.51027,                0.50959,                0.29953,                 1.5269,                 1.4948,                 1.4308,               0.004258,               0.004258,               0.004258
                     60,                 1.1548,                0.91532,                 1.1749,                0.60722,                0.51711,                0.51448,                0.30729,                 1.5077,                 1.4653,                 1.4245,               0.004159,               0.004159,               0.004159
                     61,                 1.1541,                0.90998,                 1.1815,                0.54672,                0.51252,                0.49731,                0.29077,                 1.5336,                 1.5108,                 1.4494,                0.00406,                0.00406,                0.00406
                     62,                 1.1585,                0.90283,                 1.1757,                 0.5526,                0.53341,                0.49736,                0.29633,                  1.529,                 1.4974,                  1.451,               0.003961,               0.003961,               0.003961
                     63,                 1.1239,                0.86527,                 1.1658,                0.60954,                0.51695,                0.51131,                0.30511,                 1.5063,                 1.4806,                 1.4252,               0.003862,               0.003862,               0.003862
                     64,                 1.1586,                 0.8857,                 1.1699,                0.57935,                0.50986,                 0.5023,                0.29453,                 1.5314,                 1.5377,                 1.4466,               0.003763,               0.003763,               0.003763
                     65,                 1.1501,                0.88766,                 1.1742,                0.55395,                0.52356,                0.50369,                0.29772,                  1.527,                 1.5081,                 1.4387,               0.003664,               0.003664,               0.003664
                     66,                 1.1314,                0.87247,                 1.1607,                0.57631,                0.50624,                0.50575,                0.29842,                 1.5226,                 1.4996,                 1.4374,               0.003565,               0.003565,               0.003565
                     67,                 1.1392,                0.86158,                 1.1595,                0.59447,                0.51031,                0.50816,                0.30336,                   1.51,                 1.5311,                 1.4269,               0.003466,               0.003466,               0.003466
                     68,                 1.1145,                0.84742,                 1.1537,                 0.5869,                0.50423,                0.50377,                0.29954,                 1.5205,                  1.513,                 1.4347,               0.003367,               0.003367,               0.003367
                     69,                 1.1137,                0.83956,                 1.1446,                0.61702,                0.49275,                0.49895,                0.29195,                 1.5231,                 1.5269,                 1.4299,               0.003268,               0.003268,               0.003268
                     70,                 1.1072,                0.84564,                 1.1535,                0.60208,                 0.5147,                0.50005,                0.29869,                 1.5177,                 1.4999,                 1.4399,               0.003169,               0.003169,               0.003169
                     71,                 1.0955,                0.82044,                 1.1418,                0.62343,                0.46234,                0.49658,                0.29881,                 1.5069,                 1.5321,                 1.4321,                0.00307,                0.00307,                0.00307
                     72,                 1.1107,                0.82006,                 1.1386,                0.64011,                0.46572,                0.50884,                0.30509,                 1.5078,                 1.4957,                 1.4293,               0.002971,               0.002971,               0.002971
                     73,                 1.0937,                0.82197,                 1.1406,                0.63356,                0.47187,                0.49129,                0.29168,                 1.5191,                 1.5129,                 1.4298,               0.002872,               0.002872,               0.002872
