                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.416,                 1.1869,                 1.3034,                0.56645,                0.45202,                0.48538,                0.23354,                 1.8924,                 1.8036,                 1.9615,               0.006733,               0.006733,               0.006733
                     35,                 1.3493,                 1.1501,                 1.2805,                0.54002,                0.46546,                0.46404,                0.22459,                 1.8884,                 1.8433,                 2.0147,               0.006634,               0.006634,               0.006634
                     36,                 1.3553,                 1.1165,                 1.2737,                0.60605,                0.41667,                0.43899,                0.21105,                 1.8435,                 1.8385,                 1.9951,               0.006535,               0.006535,               0.006535
                     37,                 1.3304,                 1.0869,                 1.2609,                0.55343,                0.47882,                0.49686,                0.24626,                 1.8576,                 1.6785,                 1.9986,               0.006436,               0.006436,               0.006436
                     38,                 1.3769,                 1.1074,                 1.2654,                0.58202,                0.44949,                0.48968,                0.23939,                 1.8462,                 1.7383,                 1.9937,               0.006337,               0.006337,               0.006337
                     39,                 1.3337,                 1.0994,                  1.265,                 0.5998,                0.47727,                0.50493,                0.24856,                 1.8047,                  1.686,                 1.9178,               0.006238,               0.006238,               0.006238
                     40,                 1.3055,                 1.0659,                  1.243,                0.56612,                 0.5202,                0.53125,                0.25964,                 1.8608,                 1.5229,                 1.9722,               0.006139,               0.006139,               0.006139
                     41,                 1.3316,                 1.0469,                 1.2472,                0.49391,                 0.4899,                0.47852,                0.23842,                 1.7864,                 1.6513,                 1.8741,                0.00604,                0.00604,                0.00604
                     42,                 1.3442,                 1.0867,                  1.269,                0.50086,                0.44192,                0.43297,                 0.2216,                 1.8195,                 1.7238,                  1.889,               0.005941,               0.005941,               0.005941
                     43,                 1.2744,                 1.0337,                  1.228,                0.60013,                0.42448,                0.46776,                0.23197,                 1.8345,                  1.723,                 1.9191,               0.005842,               0.005842,               0.005842
                     44,                 1.2813,                 1.0209,                 1.2286,                0.50621,                0.42973,                 0.4347,                0.20183,                 1.8524,                 1.8211,                  1.946,               0.005743,               0.005743,               0.005743
                     45,                 1.2783,                 1.0273,                 1.2237,                0.63825,                0.35354,                0.41806,                0.21118,                 1.7923,                 1.7985,                 1.9434,               0.005644,               0.005644,               0.005644
                     46,                 1.3045,                 1.0051,                 1.2297,                0.58789,                0.39899,                0.44305,                0.22626,                 1.7893,                 1.7953,                 1.9452,               0.005545,               0.005545,               0.005545
                     47,                 1.2597,                0.99736,                 1.2192,                0.62094,                0.37374,                0.41597,                0.20215,                 1.8773,                 1.8677,                 2.0164,               0.005446,               0.005446,               0.005446
                     48,                  1.276,                 1.0137,                 1.2287,                0.54762,                0.45707,                0.45698,                 0.2271,                  1.881,                 1.7643,                 1.9446,               0.005347,               0.005347,               0.005347
                     49,                 1.2365,                0.99032,                 1.2149,                0.54652,                0.41998,                0.43141,                0.21746,                 1.8302,                 1.7681,                 1.9447,               0.005248,               0.005248,               0.005248
                     50,                 1.1841,                 0.9591,                 1.1968,                0.63568,                0.45824,                0.49142,                0.24597,                 1.8566,                 1.6785,                 1.9303,               0.005149,               0.005149,               0.005149
                     51,                 1.2369,                0.96538,                 1.1986,                0.64096,                 0.5049,                0.54894,                0.26714,                 1.8042,                 1.5422,                 1.9114,                0.00505,                0.00505,                0.00505
                     52,                 1.2469,                0.95738,                 1.2115,                0.61456,                0.50733,                0.52758,                0.26178,                 1.7973,                 1.6782,                 1.9107,               0.004951,               0.004951,               0.004951
                     53,                 1.2186,                0.93597,                 1.1969,                0.62082,                 0.4798,                0.49367,                0.24585,                 1.8507,                  1.834,                 1.9572,               0.004852,               0.004852,               0.004852
                     54,                  1.252,                0.95029,                  1.195,                 0.6003,                0.49242,                0.50656,                0.23915,                 1.8661,                 1.8429,                 1.9957,               0.004753,               0.004753,               0.004753
                     55,                 1.1821,                0.92651,                 1.1825,                0.55856,                0.44697,                0.42903,                0.20211,                 1.8762,                 1.9589,                 2.0164,               0.004654,               0.004654,               0.004654
                     56,                  1.239,                0.94943,                 1.1955,                0.53259,                0.44192,                0.44516,                0.21845,                 1.8121,                 1.7863,                 1.9602,               0.004555,               0.004555,               0.004555
                     57,                  1.196,                0.93208,                 1.1871,                0.61611,                0.51768,                0.55993,                0.27116,                  1.873,                 1.7653,                 2.0026,               0.004456,               0.004456,               0.004456
                     58,                 1.1776,                0.90002,                 1.1695,                0.61862,                0.44192,                0.51098,                0.25584,                 1.9222,                 1.6313,                 2.0648,               0.004357,               0.004357,               0.004357
                     59,                 1.1788,                 0.8989,                 1.1792,                   0.62,                0.43939,                 0.4615,                0.22882,                  1.935,                  1.872,                 2.0311,               0.004258,               0.004258,               0.004258
                     60,                 1.1474,                0.88696,                 1.1726,                0.54048,                0.44949,                0.46857,                0.22525,                 1.8932,                 1.7744,                 2.0231,               0.004159,               0.004159,               0.004159
                     61,                 1.1621,                0.90341,                 1.1684,                0.63233,                0.43865,                 0.4939,                0.24082,                 1.8917,                 1.8506,                 2.0276,                0.00406,                0.00406,                0.00406
                     62,                 1.1929,                0.89477,                 1.1625,                0.58016,                0.44697,                 0.4762,                0.23409,                 1.8841,                 1.8026,                 1.9714,               0.003961,               0.003961,               0.003961
                     63,                 1.1483,                0.88009,                 1.1583,                0.64901,                0.42424,                0.46044,                0.23482,                 1.8775,                 1.7829,                 2.0228,               0.003862,               0.003862,               0.003862
                     64,                 1.1504,                0.86512,                 1.1621,                0.55338,                0.43939,                0.44227,                0.22754,                 1.8838,                 1.8072,                  2.002,               0.003763,               0.003763,               0.003763
                     65,                 1.1798,                0.86653,                 1.1538,                0.60942,                0.45706,                0.50137,                0.24992,                 1.9089,                 1.7448,                 2.0003,               0.003664,               0.003664,               0.003664
                     66,                   1.15,                0.84248,                 1.1374,                 0.5796,                0.41431,                0.43753,                0.21278,                 1.9168,                 1.8779,                 2.0866,               0.003565,               0.003565,               0.003565
                     67,                 1.2002,                0.87631,                 1.1571,                 0.5818,                0.44444,                0.44667,                0.21464,                 1.9081,                  1.837,                 2.1133,               0.003466,               0.003466,               0.003466
                     68,                  1.128,                0.83986,                 1.1515,                 0.5839,                 0.4798,                0.52226,                0.25873,                 1.8918,                 1.6426,                 2.0793,               0.003367,               0.003367,               0.003367
                     69,                 1.1151,                0.83094,                  1.143,                0.60132,                0.54545,                0.58338,                0.28477,                 1.8961,                 1.5202,                 2.0627,               0.003268,               0.003268,               0.003268
                     70,                 1.1046,                0.81739,                 1.1306,                0.64843,                0.51263,                0.57038,                0.28118,                  1.864,                 1.6634,                 1.9901,               0.003169,               0.003169,               0.003169
                     71,                 1.0998,                0.82519,                 1.1298,                0.63009,                0.47727,                0.53397,                0.26216,                 1.8448,                 1.6329,                 1.9411,                0.00307,                0.00307,                0.00307
                     72,                 1.0753,                0.79347,                 1.1151,                0.55758,                0.50603,                0.51295,                  0.252,                 1.8269,                 1.6454,                 1.9669,               0.002971,               0.002971,               0.002971
                     73,                 1.0865,                0.79521,                 1.1168,                0.67304,                 0.4596,                0.52708,                0.26053,                 1.8537,                 1.6949,                 1.9662,               0.002872,               0.002872,               0.002872
                     74,                 1.1219,                0.80855,                 1.1225,                0.61448,                0.47495,                0.49413,                0.24694,                 1.8241,                 1.7973,                  1.934,               0.002773,               0.002773,               0.002773
                     75,                 1.0573,                0.81316,                 1.1153,                0.62307,                 0.4596,                0.50908,                 0.2509,                 1.7899,                  1.796,                 1.9628,               0.002674,               0.002674,               0.002674
                     76,                 1.0557,                 0.7642,                 1.1014,                0.64568,                0.50253,                0.54267,                0.27439,                 1.8602,                  1.659,                 2.0096,               0.002575,               0.002575,               0.002575
                     77,                 1.0664,                0.76753,                 1.1026,                0.62396,                 0.5202,                0.52867,                0.26926,                 1.8624,                 1.7658,                 1.9841,               0.002476,               0.002476,               0.002476
                     78,                 1.0294,                0.75504,                 1.1025,                0.60225,                0.50758,                0.51643,                0.26564,                 1.8123,                 1.8991,                 1.9365,               0.002377,               0.002377,               0.002377
                     79,                 1.0609,                0.78095,                 1.1139,                0.68215,                0.43939,                0.49115,                0.25372,                 1.8165,                 2.0421,                 1.9201,               0.002278,               0.002278,               0.002278
                     80,                 1.0466,                0.77072,                 1.0993,                0.67783,                0.43687,                0.50211,                0.25595,                  1.836,                 1.8808,                 1.9619,               0.002179,               0.002179,               0.002179
                     81,                 1.0661,                0.77052,                 1.1028,                0.68836,                0.45455,                0.53199,                0.26254,                 1.8384,                 1.7171,                 2.0027,                0.00208,                0.00208,                0.00208
                     82,                 1.0146,                0.74507,                 1.0938,                0.66197,                0.44949,                0.52277,                0.26444,                 1.8419,                 1.6448,                 1.9932,               0.001981,               0.001981,               0.001981
                     83,                 1.0424,                0.77973,                 1.1028,                0.61859,                 0.4798,                0.50371,                0.25998,                 1.8304,                 1.6312,                 1.9785,               0.001882,               0.001882,               0.001882
                     84,                0.99546,                0.73615,                 1.0722,                0.63992,                0.47571,                0.50974,                0.25566,                 1.8295,                 1.6419,                 1.9836,               0.001783,               0.001783,               0.001783
                     85,                 1.0055,                0.73441,                  1.088,                0.61783,                 0.4596,                0.48758,                0.23655,                 1.8648,                 1.7358,                 1.9835,               0.001684,               0.001684,               0.001684
                     86,                 1.0441,                 0.7422,                 1.0921,                0.64731,                0.43434,                0.47876,                0.23993,                 1.8521,                 1.7435,                 1.9686,               0.001585,               0.001585,               0.001585
                     87,                0.98782,                0.72278,                 1.0808,                0.67706,                0.42929,                0.50823,                0.25835,                 1.8517,                 1.6934,                 1.9666,               0.001486,               0.001486,               0.001486
